index,question,gold,response,f1,precision,recall,rl
1,where was the wife of Francis I Rákóczi born?,Croatia,Jelena Zrinska (Hungarian: Zrinyi Ilona),0,0,0,0.0
2,who is Sobe (Sister Of Saint Anne)'s grandchild?,John the Baptist,John the Baptist,1.0,1.0,1.0,1.0
3,where does the director of film Man At Bath work at?,Odeon - Theatre de l'Europe,Christophe Honoré,0,0,0,0.0
4,"what is the date of birth of William Paulet, 3Rd Marquess Of Winchester's father?",1510,1483 / 1485,0,0,0,0.0
5,"who is Edward Watson, Viscount Sondes's paternal grandfather?","Edward Watson, 2nd Baron Rockingham","Lewis Watson, 1st Earl of Rockingham",0.3636363636363636,0.3333333333333333,0.4,0.3636363636363636
6,"what is the date of death of Humphrey De Bohun, 7Th Earl Of Hereford's father?",16 September 1360,1275,0,0,0,0.0
7,who is Helmichis's father-in-law?,Cunimund,Alboin,0,0,0,0.0
8,where does the director of film Wine Of Morning work at?,Bob Jones University,Katherine Stenholm was the director of Unusual Films.,0,0,0,0.0
9,"who is the paternal grandmother of Marie Of Brabant, Queen Of France?",Margaret of Flanders,Margaret of Flanders,1.0,1.0,1.0,1.0
10,"who is Renaud Ii, Count Of Soissons's uncle?","John I, count of soissons","Renaud II, Count of Soissons's uncle is not explicitly mentioned in the provided passages",0.2222222222222222,0.15384615384615385,0.4,0.3
11,when did William Le Poer Trench's father die?,26 April 1872,26 April 1872,1.0,1.0,1.0,1.0
12,"which film came out earlier, Indradhanura Chhai or The Death Of Black King?",The Death Of Black King,The Death Of Black King,1.0,1.0,1.0,1.0
13,"are both villages, Rhosgoch and Qaleh-Ye Sahar, located in the same country?",no,no,1.0,1.0,1.0,1.0
14,"which film has the director who was born first, Hell Up In Harlem or The Soviet Story?",Hell Up In Harlem,The Soviet Story,0,0,0,0.0
15,"who was born first, Cipriano Castro or Damir Nikšić?",Cipriano Castro,Cipriano Castro,1.0,1.0,1.0,1.0
16,"which film has the director who died first, The Year Of The Rabbit or Monster On The Campus?",Monster On The Campus,Monster On The Campus,1.0,1.0,1.0,1.0
17,"who is younger, Guy Arvely Dolsin or Altuğ Çelikbilek?",Altuğ Çelikbilek,Altuğ Çelikbilek,1.0,1.0,1.0,1.0
18,"which song came out first, Joel The Lump Of Coal or Jugband Blues?",Jugband Blues,Jugband Blues,1.0,1.0,1.0,1.0
19,are both Open Mobile and Primestar located in the same country?,No,no,1.0,1.0,1.0,1.0
20,"who is Archibald Acheson, 4Th Earl Of Gosford's paternal grandfather?","Archibald Acheson, 2nd Earl of Gosford","Arthur Acheson, 1st Earl of Gosford",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
21,who is the paternal grandfather of Mark Getty?,Jean Paul Getty,J. Paul Getty,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
22,where did the performer of song Fantasy (George Michael Song) die?,"Goring-on-Thames, Oxfordshire","Goring-on-Thames, Oxfordshire.",1.0,1.0,1.0,1.0
23,"which film whose director was born first, The Abduction Club or Wooden Crosses?",Wooden Crosses,Wooden Crosses,1.0,1.0,1.0,1.0
24,"which film came out earlier, Above Rubies or The Magic Aster?",Above Rubies,Above Rubies,1.0,1.0,1.0,1.0
25,what is the place of birth of the director of film Clowning Around?,"Castlemaine, Victoria, Australia","castlemaine, victoria, australia",1.0,1.0,1.0,1.0
26,where was the place of death of Kamures Kadın's husband?,Istanbul,30 April 1921,0,0,0,0.0
27,"which film has the director who died first, Tex And The Lord Of The Deep or Henry Goes Arizona?",Henry Goes Arizona,Tex And The Lord Of The Deep,0,0,0,0.0
28,which country the performer of song I Believe In Your Sweet Love is from?,United Kingdom,United Kingdom,1.0,1.0,1.0,1.0
29,who is Marcus Annius Libo's aunt?,Faustina the Elder,Rupilia Faustina,0.5,0.5,0.5,0.4
