index,question,gold,response,f1,precision,recall,rl
1,where was the wife of Francis I Rákóczi born?,Croatia,croatia,1.0,1.0,1.0,1.0
2,who is Sobe (Sister Of Saint Anne)'s grandchild?,John the Baptist,mary the mother of christ,0,0,0,0.25
3,where does the director of film Man At Bath work at?,Odeon - Theatre de l'Europe,theatre de lorient,0.5714285714285715,0.6666666666666666,0.5,0.5
4,"what is the date of birth of William Paulet, 3Rd Marquess Of Winchester's father?",1510,c. 1510,0.6666666666666666,0.5,1.0,0.6666666666666666
5,"who is Edward Watson, Viscount Sondes's paternal grandfather?","Edward Watson, 2nd Baron Rockingham","Lewis Watson, 1st Earl of Rockingham",0.3636363636363636,0.3333333333333333,0.4,0.3636363636363636
6,"what is the date of death of Humphrey De Bohun, 7Th Earl Of Hereford's father?",16 September 1360,16 september 1360,1.0,1.0,1.0,1.0
7,who is Helmichis's father-in-law?,Cunimund,Cunimund,1.0,1.0,1.0,1.0
8,where does the director of film Wine Of Morning work at?,Bob Jones University,bob jones university,1.0,1.0,1.0,1.0
9,"who is the paternal grandmother of Marie Of Brabant, Queen Of France?",Margaret of Flanders,beatrice d'avesnes,0,0,0,0.0
10,"who is Renaud Ii, Count Of Soissons's uncle?","John I, count of soissons","john i, count of soissons",1.0,1.0,1.0,1.0
11,when did William Le Poer Trench's father die?,26 April 1872,26 april 1872,1.0,1.0,1.0,1.0
12,"which film came out earlier, Indradhanura Chhai or The Death Of Black King?",The Death Of Black King,The Death Of Black King,1.0,1.0,1.0,1.0
13,"are both villages, Rhosgoch and Qaleh-Ye Sahar, located in the same country?",no,no,1.0,1.0,1.0,1.0
14,"which film has the director who was born first, Hell Up In Harlem or The Soviet Story?",Hell Up In Harlem,Hell Up In Harlem,1.0,1.0,1.0,1.0
15,"who was born first, Cipriano Castro or Damir Nikšić?",Cipriano Castro,Cipriano Castro,1.0,1.0,1.0,1.0
16,"which film has the director who died first, The Year Of The Rabbit or Monster On The Campus?",Monster On The Campus,Monster On The Campus,1.0,1.0,1.0,1.0
17,"who is younger, Guy Arvely Dolsin or Altuğ Çelikbilek?",Altuğ Çelikbilek,Altuğ Çelikbilek,1.0,1.0,1.0,1.0
18,"which song came out first, Joel The Lump Of Coal or Jugband Blues?",Jugband Blues,Jugband Blues,1.0,1.0,1.0,1.0
19,are both Open Mobile and Primestar located in the same country?,No,no,1.0,1.0,1.0,1.0
20,"who is Archibald Acheson, 4Th Earl Of Gosford's paternal grandfather?","Archibald Acheson, 2nd Earl of Gosford","Archibald Acheson, 2nd Earl of Gosford",1.0,1.0,1.0,1.0
21,who is the paternal grandfather of Mark Getty?,Jean Paul Getty,J. Paul Getty,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
22,where did the performer of song Fantasy (George Michael Song) die?,"Goring-on-Thames, Oxfordshire","his home in goring - on - thames, oxfordshire",0.22222222222222224,0.14285714285714285,0.5,0.7272727272727273
23,"which film whose director was born first, The Abduction Club or Wooden Crosses?",Wooden Crosses,Wooden Crosses,1.0,1.0,1.0,1.0
24,"which film came out earlier, Above Rubies or The Magic Aster?",Above Rubies,Above Rubies,1.0,1.0,1.0,1.0
25,what is the place of birth of the director of film Clowning Around?,"Castlemaine, Victoria, Australia","castlemaine, victoria, australia",1.0,1.0,1.0,1.0
26,where was the place of death of Kamures Kadın's husband?,Istanbul,istanbul,1.0,1.0,1.0,1.0
27,"which film has the director who died first, Tex And The Lord Of The Deep or Henry Goes Arizona?",Henry Goes Arizona,Henry Goes Arizona,1.0,1.0,1.0,1.0
28,which country the performer of song I Believe In Your Sweet Love is from?,United Kingdom,wales,0,0,0,0.0
29,who is Marcus Annius Libo's aunt?,Faustina the Elder,faustina the elder,1.0,1.0,1.0,1.0
30,"which film was released more recently, Bajo Otro Sol or Riding The California Trail?",Bajo Otro Sol,Bajo Otro Sol,1.0,1.0,1.0,1.0
31,when is Henrietta Maria Of Brandenburg-Schwedt's father's birthday?,"May 19, 1669",19 may 1669,1.0,1.0,1.0,0.6666666666666666
32,"which film was released more recently, Dance With A Stranger or Miley Naa Miley Hum?",Miley Naa Miley Hum,Miley Naa Miley Hum,1.0,1.0,1.0,1.0
33,"which film was released first, Vacations In Majorca or Dr. Socrates?",Dr. Socrates,Dr. Socrates,1.0,1.0,1.0,1.0
34,"who is younger, Peter Rosegger or Ruel Redinger?",Ruel Redinger,Ruel Redinger,1.0,1.0,1.0,1.0
35,who is the spouse of the performer of song This Time (Waylon Jennings Song)?,Jessi Colter,Barbara Elizabeth Rood,0,0,0,0.0
36,are Twin Cairns Island and Nova Zembla Island located in the same country?,yes,yes,1.0,1.0,1.0,1.0
37,"who died first, Erich Haenisch or William Pooley?",William Pooley,William Pooley,1.0,1.0,1.0,1.0
38,"which film has the director who died later, The Great Man'S Lady or La Belle Américaine?",La Belle Américaine,La Belle Américaine,1.0,1.0,1.0,1.0
39,where was the place of death of Shahnawaz Bhutto's mother?,Iranian hospital Dubai,iranian hospital dubai,1.0,1.0,1.0,1.0
40,where was the performer of song Égérie (Song) born?,France,"San Leandro, California",0,0,0,0.0
41,who is the father-in-law of Duke William Of Mecklenburg-Schwerin?,Prince Albert of Prussia,Prince Albert of Prussia,1.0,1.0,1.0,1.0
42,"who is Sir William Gore, 3Rd Baronet's paternal grandfather?","Sir Paul Gore, 1st Baronet","sir paul gore, 1st baronet",1.0,1.0,1.0,1.0
43,which country Nizar Al-Mustafa's father is from?,Egypt,egypt,1.0,1.0,1.0,1.0
44,"which film came out earlier, The Drover'S Sweetheart or Pigsty (Film)?",The Drover'S Sweetheart,The Drover's Sweetheart,1.0,1.0,1.0,1.0
45,"which film came out earlier, Closely Watched Trains or Det Sande Ansigt?",Det Sande Ansigt,Det Sande Ansigt,1.0,1.0,1.0,1.0
46,are both directors of films La Morte Vivante and Stranger On Horseback from the same country?,yes,yes,1.0,1.0,1.0,1.0
47,which country Keōpūolani's husband is from?,Hawaii,Hawaii,1.0,1.0,1.0,1.0
48,"which film came out earlier, X-Paroni or Mi Novia Está De Madre?",X-Paroni,X-Paroni,1.0,1.0,1.0,1.0
49,"which film was released earlier, August Underground'S Penance or Vasantha Raagam?",Vasantha Raagam,Vasantha Raagam,1.0,1.0,1.0,1.0
50,who is the father-in-law of Hong Ra-Hee?,Lee Byung-chul,Hong Jin-ki,0,0,0,0.0
51,who is Isabella Of Bourbon's paternal grandfather?,"John I, Duke of Bourbon","charles i, duke of bourbon",0.8000000000000002,0.8,0.8,0.8000000000000002
52,what is the date of death of Duleep Singh's father?,1839,27 june 1839,0.5,0.3333333333333333,1.0,0.5
