index,question,gold,response,f1,precision,recall,rl
1,where was the wife of Francis I Rákóczi born?,Ozalj,Croatia.,0,0,0,0.0
2,who is Sobe (Sister Of Saint Anne)'s grandchild?,John the Baptist,Elizabeth,0,0,0,0.0
3,where does the director of film Man At Bath work at?,Cahiers du cinéma,Christophe Honore,0,0,0,0.0
4,do both Beauty And The Bad Man and Wild Child (Film) films have the directors from the same country?,no,Yes,0,0,0,0.0
5,"what is the date of birth of William Paulet, 3Rd Marquess Of Winchester's father?",1510,1483/1485,0,0,0,0.0
6,"who is Edward Watson, Viscount Sondes's paternal grandfather?",Edward Watson,"Lewis Watson, 1st Earl of Rockingham",0.25,0.16666666666666666,0.5,0.25
7,"what is the date of death of Humphrey De Bohun, 7Th Earl Of Hereford's father?",16 September 1360,16 September 1360,1.0,1.0,1.0,1.0
8,who is Helmichis's father-in-law?,Cunimund,Cunimund,1.0,1.0,1.0,1.0
9,where did Helena Carroll's father study?,St Patrick's College,clerkshill notre dame high school,0,0,0,0.0
10,where does the director of film Wine Of Morning work at?,Bob Jones University,Bob Jones University,1.0,1.0,1.0,1.0
11,"which film has the director who was born earlier, The Secret Invasion or The House Of The Seven Hawks?",The House Of The Seven Hawks,The Secret Invasion,0,0,0,0.2222222222222222
12,"who is the paternal grandmother of Marie Of Brabant, Queen Of France?",Marie of Hohenstaufen,Margaret of Flanders,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
13,"who is Renaud Ii, Count Of Soissons's uncle?","Guy II, Count of Soissons","John I, Count of Soissons.",0.6,0.6,0.6,0.6
14,when did William Le Poer Trench's father die?,26 April 1872,26 April 1872,1.0,1.0,1.0,1.0
15,which country the director of film Renegade Force is from?,America,United States,0,0,0,0.0
16,who is the spouse of the director of film Emergency Wedding?,Ona Munson,Barbara Hale,0,0,0,0.0
17,"which film came out earlier, Indradhanura Chhai or The Death Of Black King?",The Death Of Black King,The Death Of Black King,1.0,1.0,1.0,1.0
18,do both films The Reincarnation Of Golden Lotus and I'Ll Get By (Film) have the directors from the same country?,no,No,1.0,1.0,1.0,1.0
19,"are both villages, Rhosgoch and Qaleh-Ye Sahar, located in the same country?",no,Yes,0,0,0,0.0
20,where was the director of film Kanneshwara Rama born?,Mysore,India,0,0,0,0.0
21,where was the place of death of Randi Monsen's father?,Kristiania,Hamar,0,0,0,0.0
22,where did the performer of song I'Ll Say It graduate from?,Lee Strasberg Theatre and Film Institute,I cannot answer the question based on the given passages.,0,0,0,0.0
23,"which film has the director who was born first, Hell Up In Harlem or The Soviet Story?",Hell Up In Harlem,Hell Up In Harlem,1.0,1.0,1.0,1.0
24,"who was born first, Cipriano Castro or Damir Nikšić?",Cipriano Castro,Cipriano Castro,1.0,1.0,1.0,1.0
25,"which film has the director who died first, The Year Of The Rabbit or Monster On The Campus?",Monster On The Campus,Monster On The Campus,1.0,1.0,1.0,1.0
26,"who is younger, Guy Arvely Dolsin or Altuğ Çelikbilek?",Altuğ Çelikbilek,Altuğ Çelikbilek,1.0,1.0,1.0,1.0
27,"which song came out first, Joel The Lump Of Coal or Jugband Blues?",Jugband Blues,Jugband Blues,1.0,1.0,1.0,1.0
28,are both Open Mobile and Primestar located in the same country?,yes,no,0,0,0,0.0
29,who is the paternal grandfather of Baldwin I Rátót?,Leustach Rátót,Rathold Rátót,0.5,0.5,0.5,0.75
30,what is the place of birth of Ratna Malla's father?,Nepal,Kathmandu,0,0,0,0.0
31,"who is Archibald Acheson, 4Th Earl Of Gosford's paternal grandfather?","Archibald Acheson, 2nd Earl of Gosford","Arthur Acheson, 1st Earl of Gosford.",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
32,who is the paternal grandfather of Mark Getty?,Jean Paul Getty,George Franklin Getty,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
33,where did the performer of song Fantasy (George Michael Song) die?,"Goring-on-Thames, Oxfordshire","His home in Goring-on-Thames, Oxfordshire.",0.5714285714285715,0.4,1.0,0.7272727272727273
34,do director of film Betrayal (1932 Film) and director of film The Godsend (Film) share the same nationality?,yes,No,0,0,0,0.0
35,"which film whose director was born first, The Abduction Club or Wooden Crosses?",Wooden Crosses,Wooden Crosses,1.0,1.0,1.0,1.0
36,"which film came out earlier, Above Rubies or The Magic Aster?",Above Rubies,Above Rubies,1.0,1.0,1.0,1.0
37,"which film has the director who is older than the other, Blue Blood And Red or The Longshot? ?",Blue Blood And Red,The Longshot,0,0,0,0.0
38,what is the place of birth of the director of film Clowning Around?,"Castlemaine, Victoria, Australia","Castlemaine, Victoria, Australia",1.0,1.0,1.0,1.0
39,"who was born later, Paul De Scherff or Lyudmyla Olyanovska?",Lyudmyla Olyanovska,Insufficient information.,0,0,0,0.0
40,where was the place of death of Kamures Kadın's husband?,Constantinople,Istanbul,0,0,0,0.0
41,what is the place of birth of Bernard (Son Of Charles The Fat)'s father?,East Francia,Germany,0,0,0,0.0
42,"which film has the director who died first, Tex And The Lord Of The Deep or Henry Goes Arizona?",Henry Goes Arizona,Henry Goes Arizona,1.0,1.0,1.0,1.0
43,which country the performer of song I Believe In Your Sweet Love is from?,United Kingdom,United Kingdom,1.0,1.0,1.0,1.0
44,"which film whose producer was born first, All-American Co-Ed or Lagu Kenangan?",All-American Co-Ed,Lagu Kenangan,0,0,0,0.0
45,what is the place of birth of the director of film A Chrysanthemum Bursts In Cincoesquinas?,Buenos Aires,"Buenos Aires, Argentina",0.8,0.6666666666666666,1.0,0.8
46,who is the mother-in-law of Louise Of Mecklenburg-Güstrow?,Charlotte Amalie of Hesse-Kassel,Magdalene Sibylle of Holstein-Gottorp,0.25,0.25,0.25,0.20000000000000004
47,where was the place of death of Agnes Of Hohenstaufen's husband?,Brunswick,Jaca,0,0,0,0.0
48,who is Marcus Annius Libo's aunt?,Vibia Sabina,Faustina the Elder.,0,0,0,0.0
49,"which film was released more recently, Bajo Otro Sol or Riding The California Trail?",Bajo Otro Sol,Bajo Otro Sol,1.0,1.0,1.0,1.0
50,who is the mother of the director of film Dalida (2017 Film)?,Marie Laforêt,Lisa Azuelos,0,0,0,0.0
51,who is the spouse of the director of film Streets Of Blood?,Sandra Nelson,Ida May Park,0,0,0,0.0
52,when is Henrietta Maria Of Brandenburg-Schwedt's father's birthday?,"May 19, 1669","May 19, 1669",1.0,1.0,1.0,1.0
53,"where was the place of death of Sancha Of Castile, Queen Of Navarre's mother?",Palencia,Palencia,1.0,1.0,1.0,1.0
54,"which film was released more recently, Dance With A Stranger or Miley Naa Miley Hum?",Miley Naa Miley Hum,Miley Naa Miley Hum,1.0,1.0,1.0,1.0
55,"which film has the director who is older, Space Probe Taurus or Tom Mix In Arabia?",Tom Mix In Arabia,Space Probe Taurus,0,0,0,0.0
56,"which film has the director died later, Seven In The Sun or Daughter Of The Jungle?",Seven In The Sun,Seven In The Sun,1.0,1.0,1.0,1.0
57,"which film was released first, Vacations In Majorca or Dr. Socrates?",Dr. Socrates,Dr. Socrates,1.0,1.0,1.0,1.0
58,"which film has the director born later, Woman In The Moon or Changeland?",Changeland,Changeland,1.0,1.0,1.0,1.0
59,"who is younger, Peter Rosegger or Ruel Redinger?",Ruel Redinger,Peter Rosegger,0,0,0,0.0
60,who is Pyotr Karatygin's sibling-in-law?,Alexandra Kolosova,Alexandra Kolosova,1.0,1.0,1.0,1.0
61,who is the spouse of the performer of song This Time (Waylon Jennings Song)?,Jessi Colter,Jessi Colter,1.0,1.0,1.0,1.0
62,are Twin Cairns Island and Nova Zembla Island located in the same country?,yes,Yes,1.0,1.0,1.0,1.0
63,"who died first, Erich Haenisch or William Pooley?",William Pooley,Erich Haenisch,0,0,0,0.0
64,what nationality is the performer of song You Can?,Sweden,American,0,0,0,0.0
65,do Nick Varner and Carl Duser share the same nationality?,yes,no,0,0,0,0.0
66,"which film has the director who died earlier, Melody Of The World or Ladies Love Danger?",Melody Of The World,Melody Of The World,1.0,1.0,1.0,1.0
67,where was the place of death of the composer of film Miracle Of Marcelino?,Madrid,Badajoz,0,0,0,0.0
68,who is the mother of the director of film Atomised (Film)?,Gisela Elsner,the wife of masistes,0,0,0,0.0
69,"which film has the director who died later, The Great Man'S Lady or La Belle Américaine?",La Belle Américaine,The Great Man's Lady,0,0,0,0.0
70,what is the place of birth of the director of film Sweepstakes (Film)?,"Oklahoma City, Oklahoma","pittsburgh, pennsylvania",0,0,0,0.0
71,where was the place of death of Shahnawaz Bhutto's mother?,Dubai,"Dubai, United Arab Emirates",0.4,0.25,1.0,0.4
72,where was the performer of song Égérie (Song) born?,La Trinité,France,0,0,0,0.0
73,who is the father-in-law of Duke William Of Mecklenburg-Schwerin?,Prince Albert of Prussia,Frederick William III of Prussia,0.4444444444444445,0.4,0.5,0.4444444444444445
74,are Gut (Crișul Alb) and Gepiș both located in the same country?,yes,Yes,1.0,1.0,1.0,1.0
75,where was the place of death of Anne Devereux's husband?,Banbury,Ruel Abbey,0,0,0,0.0
76,"who is Sir William Gore, 3Rd Baronet's paternal grandfather?","Sir Paul Gore, 1st Baronet","Sir Paul Gore, 1st Baronet",1.0,1.0,1.0,1.0
77,which country Nizar Al-Mustafa's father is from?,Fatimid caliphate,Egypt,0,0,0,0.0
78,where was the wife of Lou Breslow born?,"Dayton, Ohio",The passages do not contain information about Lou Breslow or his wife's birthplace.,0,0,0,0.0
79,who is the spouse of the director of film Ann Carver'S Profession?,Ona Munson,Catherine G. McFarlane,0,0,0,0.0
80,"which film came out earlier, The Drover'S Sweetheart or Pigsty (Film)?",The Drover'S Sweetheart,The Drover's Sweetheart,1.0,1.0,1.0,1.0
81,what is the place of birth of the director of film Bhagirathi (Film)?,Tumkur,Bangalore,0,0,0,0.0
82,"which film came out earlier, Closely Watched Trains or Det Sande Ansigt?",Det Sande Ansigt,Closely Watched Trains,0,0,0,0.0
83,"which film has the director who died earlier, Il Gaucho or Bomgay?",Bomgay,Il Gaucho,0,0,0,0.0
84,where was the place of death of Maria (Wife Of Boris I Of Bulgaria)'s husband?,Preslav,Donauworth,0,0,0,0.0
85,"which film came out first, The Pyrammmid or Revolt Of The Praetorians?",Revolt Of The Praetorians,Revolt Of The Praetorians,1.0,1.0,1.0,1.0
86,are both directors of films La Morte Vivante and Stranger On Horseback from the same country?,yes,Yes,1.0,1.0,1.0,1.0
87,what is the cause of death of Constantia Eriksdotter's father?,poisoning,Not mentioned in the passages.,0,0,0,0.0
88,what nationality is the director of film Postmortem (1998 Film)?,America,American,0,0,0,0.0
89,which country Keōpūolani's husband is from?,Kingdom of Hawaii,Hawaii,0.5,1.0,0.3333333333333333,0.5
90,"which film came out earlier, X-Paroni or Mi Novia Está De Madre?",X-Paroni,X-Paroni,1.0,1.0,1.0,1.0
91,"which film was released earlier, August Underground'S Penance or Vasantha Raagam?",Vasantha Raagam,August Underground's Penance,0,0,0,0.0
92,who is the father-in-law of Hong Ra-Hee?,Lee Byung-chul,Hong Jin-ki,0,0,0,0.0
93,who is Isabella Of Bourbon's paternal grandfather?,"John I, Duke of Bourbon",Louis I Duke of Bourbon,0.8000000000000002,0.8,0.8,0.8000000000000002
94,what is the date of death of Duleep Singh's father?,27 June 1839,22 October 1893,0,0,0,0.0
95,what is the place of birth of the director of film Gunsmoke (Film)?,Gura Humorului,"The passages do not contain information about the director of a film titled ""Gunsmoke.""",0,0,0,0.0
96,"who is the spouse of the performer of song Et Moi, Et Moi, Et Moi?",Françoise Hardy,Francoise Hardy,0.5,0.5,0.5,0.4
97,"who lived longer, Charles Wheatstone or Jean-Claude Lauzon?",Charles Wheatstone,Charles Wheatstone,1.0,1.0,1.0,1.0
98,where was the place of death of Thomas E. Noell's father?,Washington,"Washington, D.C.",0.6666666666666666,0.5,1.0,0.5
99,"which film has the director died first, Our Agent Tiger or London Melody?",London Melody,London Melody,1.0,1.0,1.0,1.0
100,who is the paternal grandfather of Diego Fernández De Oviedo?,Flaín Muñoz,Fernando Fernández de Ovando,0,0,0,0.0
101,who is the child of the director of film The Trouble With Cali?,Mira Sorvino,"There is no director or film named ""The Trouble With Cali"" in the given passages.",0,0,0,0.0
102,are Ding Yaping and Johann Christian Gustav Lucae of the same nationality?,yes,No,0,0,0,0.0
103,"which country Dorothea Of Denmark, Duchess Of Mecklenburg's father is from?",Norway,Denmark,0,0,0,0.0
104,what is the cause of death of Heonjong Of Goryeo's father?,illness,Munhwawang,0,0,0,0.0
105,where did Mary Of Woodstock's mother die?,Harby,"Harby, Nottinghamshire",0.6666666666666666,0.5,1.0,0.6666666666666666
106,which award the director of film Tiramisu (2002 Film) earned?,Hong Kong Film Award for Best Director,None,0,0,0,0.0
107,what is the date of death of the director of film Nallavan Vazhvan?,3 September 1992,31 August 1961,0,0,0,0.0
108,"who died first, Frederick Cleveland Morgan or Nathaniel Mclenaghan?",Nathaniel Mclenaghan,Frederick Cleveland Morgan,0,0,0,0.0
109,where did the director of film Balls Out (2014 Film) graduate from?,Tisch,University of Texas.,0,0,0,0.0
110,"which film whose director is younger, Cuchillos De Fuego or A Woman Has Killed?",Cuchillos De Fuego,A Woman Has Killed,0,0,0,0.0
111,"which film was released earlier, Moment Of Danger or The Ballad Of Josie?",Moment Of Danger,Moment Of Danger,1.0,1.0,1.0,1.0
112,"which magazine was established first, Rock Street Journal or De As?",De As,Rock Street Journal,0,0,0,0.0
113,"which film has the director who died first, The Piper'S Price or The Blonde From Singapore?",The Piper'S Price,The Piper's Price,1.0,1.0,1.0,1.0
114,are H. H. Hunnewell and Bob Flanigan (Singer) of the same nationality?,yes,No,0,0,0,0.0
115,"when was Antoine Philippe, Duke Of Montpensier's mother born?",13 March 1753,1801,0,0,0,0.0
116,"which film has the director who died later, True To The Navy or No Trees In The Street?",No Trees In The Street,No Trees In The Street,0,0,0,1.0
117,what is the place of birth of the director of film Ninamaninja Kalpadukal?,Methala,Methala near Perumbavoor in Kerala,0.33333333333333337,0.2,1.0,0.33333333333333337
118,"which film came out earlier, Alkohol or Night Of Dark Shadows?",Alkohol,Alkohol,1.0,1.0,1.0,1.0
119,"which film whose director is younger, Many Tanks Mr. Atkins or Do Musafir?",Do Musafir,Do Musafir,1.0,1.0,1.0,1.0
120,are Revolt In The Big House and The Fugitive (1914 Film) from the same country?,no,Yes,0,0,0,0.0
121,where was the composer of film Consenting Adults (1992 Film) born?,New York,American,0,0,0,0.0
122,"which film has the director who died earlier, Tiger In The Smoke or Contragolpe?",Contragolpe,Contragolpe,1.0,1.0,1.0,1.0
123,where was the place of death of the director of film Jail Yatra?,Mumbai,India,0,0,0,0.0
124,"which film came out first, F The Prom or The Comedians Of Comedy?",The Comedians Of Comedy,The Comedians Of Comedy,1.0,1.0,1.0,1.0
125,"which film has the director who was born first, Tombstone Rashomon or Waiting For The Clouds?",Tombstone Rashomon,Waiting For The Clouds,0,0,0,0.0
126,"which film has the director who was born earlier, Dhuen Ki Lakeer or Bomma Borusa?",Dhuen Ki Lakeer,Insufficient information.,0,0,0,0.0
127,"which film has the director who was born first, Perdón, Viejita or Smokey And The Bandit?","Perdón, Viejita","Perdón, Viejita",1.0,1.0,1.0,1.0
128,where did the director of film American Gothic (2007 Film) graduate from?,University of Wisconsin,the university of wisconsin - madison,0.8571428571428571,0.75,1.0,0.7499999999999999
129,was Dudley Russell or Juan René Serrano born first?,Dudley Russell,Dudley Russell,1.0,1.0,1.0,1.0
130,"who was born first, Vytautas Straižys or Mirjam Polkunen?",Mirjam Polkunen,Vytautas Straižys,0,0,0,0.0
131,where did Grand Duchess Elena Vladimirovna Of Russia's father die?,Saint Petersburg,Russia,0,0,0,0.0
132,where was the director of film The Dinner (2013 Film) born?,Eindhoven,"Fayetteville, Arkansas",0,0,0,0.0
