index,question,gold,response,f1,precision,recall,rl
1,where was the wife of Francis I Rákóczi born?,Croatia,croatia,1.0,1.0,1.0,1.0
2,who is Sobe (Sister Of Saint Anne)'s grandchild?,John the Baptist,John the Baptist,1.0,1.0,1.0,1.0
3,where does the director of film Man At Bath work at?,Cahiers du cinéma,No answer,0,0,0,0.0
4,do both Beauty And The Bad Man and Wild Child (Film) films have the directors from the same country?,No answer,"The user is asking if both ""Beauty And The Bad Man"" and ""Wild Child (Film)""",0,0,0,0.0
5,"what is the date of birth of William Paulet, 3Rd Marquess Of Winchester's father?",1510,"William Paulet, 3rd Marquess of Winchester's father was John Paulet, ",0,0,0,0.0
6,"who is Edward Watson, Viscount Sondes's paternal grandfather?",Edward Watson,"The user wants to know who is Edward Watson, Viscount Sondes's paternal grandfather.

",0.2857142857142857,0.16666666666666666,1.0,0.25
7,"what is the date of death of Humphrey De Bohun, 7Th Earl Of Hereford's father?",16 September 1360,16 September 1360,1.0,1.0,1.0,1.0
8,who is Helmichis's father-in-law?,Cunimund,Alboin,0,0,0,0.0
9,where did Helena Carroll's father study?,No answer,No answer,1.0,1.0,1.0,1.0
10,where does the director of film Wine Of Morning work at?,Bob Jones University,Bob Jones University,1.0,1.0,1.0,1.0
11,"which film has the director who was born earlier, The Secret Invasion or The House Of The Seven Hawks?",No answer,The House of the Seven Hawks,0,0,0,0.0
12,"who is the paternal grandmother of Marie Of Brabant, Queen Of France?",Marie of Hohenstaufen,Marie of Brabant (disambiguation),0.5714285714285715,0.5,0.6666666666666666,0.5714285714285715
13,"who is Renaud Ii, Count Of Soissons's uncle?","Guy II, Count of Soissons",No answer,0,0,0,0.0
14,when did William Le Poer Trench's father die?,26 April 1872,26 March 1839,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
15,which country the director of film Renegade Force is from?,No answer,"Martin Kunert is an American director, as indicated by the context provided. The film Renegade",0,0,0,0.0
16,who is the spouse of the director of film Emergency Wedding?,No answer,No answer,1.0,1.0,1.0,1.0
