index,question,answers,response,f1,precision,recall,rl
1,where was the wife of Francis I Rákóczi born?,Ozalj,yes,0,0,0,0.0
2,who is Sobe (Sister Of Saint Anne)'s grandchild?,John the Baptist,yes,0,0,0,0.0
3,where does the director of film Man At Bath work at?,Cahiers du cinéma,yes,0,0,0,0.0
4,do both Beauty And The Bad Man and Wild Child (Film) films have the directors from the same country?,no,yes,0,0,0,0.0
5,"what is the date of birth of William Paulet, 3Rd Marquess Of Winchester's father?",1510,yes,0,0,0,0.0
6,"who is Edward Watson, Viscount Sondes's paternal grandfather?",Edward Watson,yes,0,0,0,0.0
7,"what is the date of death of Humphrey De Bohun, 7Th Earl Of Hereford's father?",16 September 1360,yes,0,0,0,0.0
8,who is Helmichis's father-in-law?,Cunimund,yes,0,0,0,0.0
9,where did Helena Carroll's father study?,St Patrick's College,yes,0,0,0,0.0
10,where does the director of film Wine Of Morning work at?,Bob Jones University,yes,0,0,0,0.0
11,"which film has the director who was born earlier, The Secret Invasion or The House Of The Seven Hawks?",The House Of The Seven Hawks,yes,0,0,0,0.0
12,"who is the paternal grandmother of Marie Of Brabant, Queen Of France?",Marie of Hohenstaufen,yes,0,0,0,0.0
13,"who is Renaud Ii, Count Of Soissons's uncle?","Guy II, Count of Soissons",yes,0,0,0,0.0
14,when did William Le Poer Trench's father die?,26 April 1872,yes,0,0,0,0.0
15,which country the director of film Renegade Force is from?,America,yes,0,0,0,0.0
16,who is the spouse of the director of film Emergency Wedding?,Ona Munson,yes,0,0,0,0.0
17,"which film came out earlier, Indradhanura Chhai or The Death Of Black King?",The Death Of Black King,yes,0,0,0,0.0
18,do both films The Reincarnation Of Golden Lotus and I'Ll Get By (Film) have the directors from the same country?,no,yes,0,0,0,0.0
19,"are both villages, Rhosgoch and Qaleh-Ye Sahar, located in the same country?",no,yes,0,0,0,0.0
20,where was the director of film Kanneshwara Rama born?,Mysore,yes,0,0,0,0.0
21,where was the place of death of Randi Monsen's father?,Kristiania,yes,0,0,0,0.0
22,where did the performer of song I'Ll Say It graduate from?,Lee Strasberg Theatre and Film Institute,yes,0,0,0,0.0
23,"which film has the director who was born first, Hell Up In Harlem or The Soviet Story?",Hell Up In Harlem,yes,0,0,0,0.0
24,"who was born first, Cipriano Castro or Damir Nikšić?",Cipriano Castro,yes,0,0,0,0.0
25,"which film has the director who died first, The Year Of The Rabbit or Monster On The Campus?",Monster On The Campus,yes,0,0,0,0.0
26,"who is younger, Guy Arvely Dolsin or Altuğ Çelikbilek?",Altuğ Çelikbilek,yes,0,0,0,0.0
27,"which song came out first, Joel The Lump Of Coal or Jugband Blues?",Jugband Blues,yes,0,0,0,0.0
28,are both Open Mobile and Primestar located in the same country?,yes,yes,1.0,1.0,1.0,1.0
29,who is the paternal grandfather of Baldwin I Rátót?,Leustach Rátót,yes,0,0,0,0.0
30,what is the place of birth of Ratna Malla's father?,Nepal,yes,0,0,0,0.0
31,"who is Archibald Acheson, 4Th Earl Of Gosford's paternal grandfather?","Archibald Acheson, 2nd Earl of Gosford",yes,0,0,0,0.0
32,who is the paternal grandfather of Mark Getty?,Jean Paul Getty,yes,0,0,0,0.0
33,where did the performer of song Fantasy (George Michael Song) die?,"Goring-on-Thames, Oxfordshire",yes,0,0,0,0.0
34,do director of film Betrayal (1932 Film) and director of film The Godsend (Film) share the same nationality?,yes,yes,1.0,1.0,1.0,1.0
35,"which film whose director was born first, The Abduction Club or Wooden Crosses?",Wooden Crosses,yes,0,0,0,0.0
36,"which film came out earlier, Above Rubies or The Magic Aster?",Above Rubies,yes,0,0,0,0.0
37,"which film has the director who is older than the other, Blue Blood And Red or The Longshot? ?",Blue Blood And Red,yes,0,0,0,0.0
38,what is the place of birth of the director of film Clowning Around?,"Castlemaine, Victoria, Australia",yes,0,0,0,0.0
39,"who was born later, Paul De Scherff or Lyudmyla Olyanovska?",Lyudmyla Olyanovska,yes,0,0,0,0.0
40,where was the place of death of Kamures Kadın's husband?,Constantinople,yes,0,0,0,0.0
41,what is the place of birth of Bernard (Son Of Charles The Fat)'s father?,East Francia,yes,0,0,0,0.0
42,"which film has the director who died first, Tex And The Lord Of The Deep or Henry Goes Arizona?",Henry Goes Arizona,yes,0,0,0,0.0
43,which country the performer of song I Believe In Your Sweet Love is from?,United Kingdom,yes,0,0,0,0.0
44,"which film whose producer was born first, All-American Co-Ed or Lagu Kenangan?",All-American Co-Ed,yes,0,0,0,0.0
45,what is the place of birth of the director of film A Chrysanthemum Bursts In Cincoesquinas?,Buenos Aires,yes,0,0,0,0.0
46,who is the mother-in-law of Louise Of Mecklenburg-Güstrow?,Charlotte Amalie of Hesse-Kassel,yes,0,0,0,0.0
47,where was the place of death of Agnes Of Hohenstaufen's husband?,Brunswick,yes,0,0,0,0.0
48,who is Marcus Annius Libo's aunt?,Vibia Sabina,yes,0,0,0,0.0
49,"which film was released more recently, Bajo Otro Sol or Riding The California Trail?",Bajo Otro Sol,yes,0,0,0,0.0
50,who is the mother of the director of film Dalida (2017 Film)?,Marie Laforêt,yes,0,0,0,0.0
51,who is the spouse of the director of film Streets Of Blood?,Sandra Nelson,yes,0,0,0,0.0
52,when is Henrietta Maria Of Brandenburg-Schwedt's father's birthday?,"May 19, 1669",yes,0,0,0,0.0
53,"where was the place of death of Sancha Of Castile, Queen Of Navarre's mother?",Palencia,yes,0,0,0,0.0
54,"which film was released more recently, Dance With A Stranger or Miley Naa Miley Hum?",Miley Naa Miley Hum,yes,0,0,0,0.0
55,"which film has the director who is older, Space Probe Taurus or Tom Mix In Arabia?",Tom Mix In Arabia,yes,0,0,0,0.0
56,"which film has the director died later, Seven In The Sun or Daughter Of The Jungle?",Seven In The Sun,yes,0,0,0,0.0
57,"which film was released first, Vacations In Majorca or Dr. Socrates?",Dr. Socrates,yes,0,0,0,0.0
58,"which film has the director born later, Woman In The Moon or Changeland?",Changeland,yes,0,0,0,0.0
59,"who is younger, Peter Rosegger or Ruel Redinger?",Ruel Redinger,yes,0,0,0,0.0
60,who is Pyotr Karatygin's sibling-in-law?,Alexandra Kolosova,yes,0,0,0,0.0
61,who is the spouse of the performer of song This Time (Waylon Jennings Song)?,Jessi Colter,yes,0,0,0,0.0
62,are Twin Cairns Island and Nova Zembla Island located in the same country?,yes,yes,1.0,1.0,1.0,1.0
63,"who died first, Erich Haenisch or William Pooley?",William Pooley,yes,0,0,0,0.0
64,what nationality is the performer of song You Can?,Sweden,yes,0,0,0,0.0
65,do Nick Varner and Carl Duser share the same nationality?,yes,yes,1.0,1.0,1.0,1.0
66,"which film has the director who died earlier, Melody Of The World or Ladies Love Danger?",Melody Of The World,yes,0,0,0,0.0
67,where was the place of death of the composer of film Miracle Of Marcelino?,Madrid,yes,0,0,0,0.0
68,who is the mother of the director of film Atomised (Film)?,Gisela Elsner,yes,0,0,0,0.0
69,"which film has the director who died later, The Great Man'S Lady or La Belle Américaine?",La Belle Américaine,yes,0,0,0,0.0
70,what is the place of birth of the director of film Sweepstakes (Film)?,"Oklahoma City, Oklahoma",yes,0,0,0,0.0
71,where was the place of death of Shahnawaz Bhutto's mother?,Dubai,yes,0,0,0,0.0
72,where was the performer of song Égérie (Song) born?,La Trinité,yes,0,0,0,0.0
73,who is the father-in-law of Duke William Of Mecklenburg-Schwerin?,Prince Albert of Prussia,yes,0,0,0,0.0
74,are Gut (Crișul Alb) and Gepiș both located in the same country?,yes,yes,1.0,1.0,1.0,1.0
75,where was the place of death of Anne Devereux's husband?,Banbury,yes,0,0,0,0.0
76,"who is Sir William Gore, 3Rd Baronet's paternal grandfather?","Sir Paul Gore, 1st Baronet",yes,0,0,0,0.0
